BPCY (BIOMASS_KT_TEMP * R_EX_HAA);WYIELD biomass: BIOMASS_KT_TEMP product: R_EX_HAA ;;;solution;
4.444262339057959;2.929738533617709;;{'PP_1664': 2};;{'GARFT': (3.1486866199362344, 10000)};
1.5282856674367917;3.7395016977586133;;{'PP_0339': 0, 'PP_2328': 4, 'PP_4965': 0.125};;{'PDH': (0, 0), 'PDHa': (0, 0), 'APSR': (3.4300807235539246, 10000), 'TKT1': (0, 0.02354410018855485), 'TKT2': (-0.16548571326274172, 0)};
4.1686192040774435;3.596460692113836;;{'PP_2328': 4};;{'APSR': (3.4300807235491018, 10000)};
4.440298660709159;3.332214573567277;;{'PP_1664': 2, 'PP_0339': 0};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.516848627409034, 10000)};
4.415626743558746;3.3683812944509794;;{'PP_2186': 0.25, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274089172, 10000), 'FDH': (0, 0.04602025093408857)};
4.440298660709447;3.3322145735672217;;{'PP_1457': 0, 'PP_1664': 2};;{'GART': (0, 0), 'GARFT': (3.5168486274089363, 10000)};
4.44029866070978;3.332214573567247;;{'PP_4401': 0, 'PP_4963': 0.5, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.5168486274090163, 10000), 'PGK': (-7.631398486712856, 0)};
4.44029866070978;3.332214573567247;;{'PP_4401': 0, 'PP_3597': 0.25, 'PP_4963': 0.5, 'PP_1664': 2, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'OIVD1r': 0, 'PDH': (0, 0), 'GARFT': (3.516848627409132, 10000), 'PGK': (-7.6313984867128255, 0)};
4.44029866070978;3.332214573567247;;{'PP_3597': 0.25, 'PP_4963': 0.5, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-7.631398486712844, 0)};
4.44029866070978;3.332214573567247;;{'PP_4401': 0, 'PP_3597': 0.25, 'PP_4963': 0.5, 'PP_1457': 0, 'PP_1664': 2};;{'GART': (0, 0), 'OIVD3': (0, 0), 'OIVD1r': 0, 'OIVD2': (0, 0), 'GARFT': (3.5168486274089923, 10000), 'PGK': (-7.606065732151108, 0)};
4.44029866070978;3.332214573567247;;{'PP_4401': 0, 'PP_3597': 0.25, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000)};
4.440298660709622;3.332214573567354;;{'PP_0722': 0.25, 'PP_4963': 0.5, 'PP_1664': 2, 'PP_0339': 0};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486280922444, 10000), 'PGK': (-7.631398486252689, 0), 'PRPPS': (0, 0.8644761102489807)};
4.44029866070978;3.332214573567247;;{'PP_4963': 0.5, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274091135, 10000), 'PGK': (-7.631398486712821, 0)};
4.44029866070978;3.332214573567247;;{'PP_4963': 0.5, 'PP_4401': 0, 'PP_1664': 2, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'OIVD1r': 0, 'PDH': (0, 0), 'GARFT': (3.516848627409132, 10000), 'PGK': (-7.6313984867128255, 0)};
4.44029866070978;3.332214573567247;;{'PP_4963': 0.5, 'PP_1457': 0, 'PP_4401': 0, 'PP_1664': 2};;{'GART': (0, 0), 'OIVD3': (0, 0), 'OIVD1r': 0, 'OIVD2': (0, 0), 'GARFT': (3.5168486274089923, 10000), 'PGK': (-7.606065732151108, 0)};
4.44029866070978;3.332214573567247;;{'PP_1457': 0, 'PP_4401': 0, 'PP_1664': 2, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000)};
4.440298660709803;3.332214573567283;;{'PP_1016': 8, 'PP_3597': 0.25, 'PP_0121': 8, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274091135, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_3597': 0.25, 'PP_0121': 8, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_1016': 8, 'PP_0121': 8, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_1016': 8, 'PP_3597': 0.25, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_1016': 8, 'PP_3597': 0.25, 'PP_0121': 8, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.51684862740895, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_1016': 8, 'PP_3597': 0.25, 'PP_0121': 8, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660709803;3.332214573567283;;{'PP_4298': 0.5, 'PP_1016': 8, 'PP_3597': 0.25, 'PP_0121': 8, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2};;{'GART': (0, 0), 'GARFT': (3.5168486274089004, 10000)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.5168486274090163, 10000), 'PGK': (-10000, -488.40950314962276), 'PRPPS': (0, 0.8644761100810316)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0, 'PP_0746': 16};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622), 'PRPPS': (0, 0.8644761100810348)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'OIVD1r': 0, 'PDH': (0, 0), 'GARFT': (3.516848627409132, 10000), 'PGK': (-10000, -488.40950314962083), 'PRPPS': (0, 0.8644761100810465)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0746': 16};;{'GART': (0, 0), 'OIVD3': (0, 0), 'OIVD1r': 0, 'OIVD2': (0, 0), 'GARFT': (3.5168486274089923, 10000), 'PGK': (-10000, -486.7882068576709), 'PRPPS': (0, 0.8644761100810254)};
4.44029866071183;3.332214573567346;;{'PP_3597': 0.25, 'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_2186': 32, 'PP_0339': 0};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.440298660709983;3.332214573567508;;{'PP_3597': 0.25, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 16};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.516848627409034, 10000)};
4.440298660710579;3.3322145735676942;;{'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_5064': 16, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274091135, 10000), 'PGK': (-10000, -488.40950314962055)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_5064': 16, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_5064': 16, 'PP_0746': 16, 'PP_5227': 0.0625};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.51684862740895, 10000), 'PGK': (-10000, -488.4095031496234)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_5064': 16, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'GARFT': (3.5168486274089004, 10000), 'PGK': (-10000, -486.7882068576726)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_5064': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_5064': 16, 'PP_0746': 16};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.44029866071183;3.332214573567346;;{'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.5168486274090163, 10000), 'PGK': (-10000, -488.40950314962276)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622), 'PRPPS': (0, 0.8644761100810348)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'OIVD1r': 0, 'PDH': (0, 0), 'GARFT': (3.516848627409132, 10000), 'PGK': (-10000, -488.40950314962083), 'PRPPS': (0, 0.8644761100810465)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0491': 0.125, 'PP_0746': 16, 'PP_5227': 0.0625};;{'GART': (0, 0), 'OIVD3': (0, 0), 'OIVD1r': 0, 'OIVD2': (0, 0), 'GARFT': (3.5168486274089923, 10000), 'PGK': (-10000, -486.7882068576709), 'PRPPS': (0, 0.8644761100810254)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 16, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_5227': 0.0625};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.44029866071183;3.332214573567346;;{'PP_0722': 0.25, 'PP_5179': 0.125, 'PP_4963': 32, 'PP_4401': 0, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0491': 0.125, 'PP_0746': 16};;{'OIVD3': (0, 0), 'OIVD2': (0, 0), 'PDHa': (0, 0), 'GART': (0, 0), 'PDH': (0, 0), 'OIVD1r': 0, 'GARFT': (3.516848627408994, 10000), 'PGK': (-10000, -488.40950314962424), 'PRPPS': (0, 0.8644761100810252)};
4.440298660710579;3.3322145735676942;;{'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274091135, 10000), 'PGK': (-10000, -488.40950314962055)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.51684862740895, 10000), 'PGK': (-10000, -488.4095031496234)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0121': 2, 'PP_0746': 0.5};;{'GART': (0, 0), 'GARFT': (3.5168486274089004, 10000), 'PGK': (-10000, -486.7882068576726)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0746': 0.5};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
4.440298660710579;3.3322145735676942;;{'PP_3597': 0.25, 'PP_4963': 32, 'PP_1457': 0, 'PP_2186': 32, 'PP_1664': 2, 'PP_0339': 0, 'PP_0121': 2};;{'GART': (0, 0), 'PDH': (0, 0), 'PDHa': (0, 0), 'GARFT': (3.5168486274090256, 10000), 'PGK': (-10000, -488.409503149622)};
